Vértices,Densidade,Arestas,Dijkstra Clássico (ms),Artigo (ms),Bellman-Ford (ms)
50,0.2,492.6,0.25986000255215913,0.6178799987537786,5.809100004262291
50,0.8,1961.0,0.38800000329501927,1.1292399984085932,23.771699995268136
100,0.2,1980.4,0.9644399979151785,1.9230600009905174,47.7478799992241
100,0.5,4947.2,1.27269999939017,4.181639998569153,119.01787999668159
100,0.8,7906.6,1.5384800004540011,5.970799995702691,195.64559999853373
200,0.2,7923.4,3.7372399994637817,6.600139997317456,383.42739999934565
300,0.1,8971.0,7.655480000539683,3.4229200013214722,643.4710800007451
400,0.05,7953.4,12.788759998511523,3.7750800023786724,766.1316400015494
500,0.02,4949.8,19.632999997702427,3.2361999968998134,595.8664999983739
1000,0.01,10018.2,79.95166000036988,8.360380004160106,2390.585859998828
2000,0.005,19962.4,315.52019999653567,9.208280002349056,9413.640379998833
